"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.32126613594209e-08,9,49,21.7752987205245,"Path:hsa05144 Malaria","http://www.genome.jp/kegg-bin/show_pathway?hsa05144 ","ENSG00000108342 ENSG00000213088 ENSG00000206172 ENSG00000188536 ENSG00000244734 ENSG00000136244 ENSG00000169429 ENSG00000108691 ENSG00000007908"
0.000227071968690878,5,37,16.0208654250105,"Path:hsa05143 African trypanosomiasis","http://www.genome.jp/kegg-bin/show_pathway?hsa05143 ","ENSG00000206172 ENSG00000188536 ENSG00000244734 ENSG00000136244 ENSG00000007908"
4.30331163744213e-09,12,99,14.370230805464,"Path:hsa04061 Viral protein interaction with cytokine and cytokine receptor","http://www.genome.jp/kegg-bin/show_pathway?hsa04061 ","ENSG00000163739 ENSG00000081041 ENSG00000163734 ENSG00000136244 ENSG00000169429 ENSG00000169245 ENSG00000108691 ENSG00000172156 ENSG00000172724 ENSG00000137077 ENSG00000124875 ENSG00000125735"
1.48140040339802e-08,11,93,14.0225639311382,"Path:hsa04657 IL-17 signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04657 ","ENSG00000108342 ENSG00000163739 ENSG00000081041 ENSG00000163734 ENSG00000136244 ENSG00000169429 ENSG00000169245 ENSG00000108691 ENSG00000172156 ENSG00000124875 ENSG00000175592"
1.24625138501733e-08,12,112,12.7022575869726,"Path:hsa04668 TNF signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04668 ","ENSG00000163739 ENSG00000081041 ENSG00000163734 ENSG00000136244 ENSG00000169245 ENSG00000171223 ENSG00000128342 ENSG00000069399 ENSG00000108691 ENSG00000124875 ENSG00000007908 ENSG00000184557"
0.000162353428607311,6,57,12.4794109626398,"Path:hsa05134 Legionellosis","http://www.genome.jp/kegg-bin/show_pathway?hsa05134 ","ENSG00000163739 ENSG00000081041 ENSG00000163734 ENSG00000173110 ENSG00000136244 ENSG00000169429"
6.06467827417112e-07,10,104,11.3994619370267,"Path:hsa04064 NF-kappa B signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04064 ","ENSG00000163739 ENSG00000081041 ENSG00000163734 ENSG00000169429 ENSG00000122861 ENSG00000140379 ENSG00000104856 ENSG00000172724 ENSG00000137077 ENSG00000125735"
9.23426549816754e-16,25,294,10.0811568150576,"Path:hsa04060 Cytokine-cytokine receptor interaction","http://www.genome.jp/kegg-bin/show_pathway?hsa04060 ","ENSG00000006606 ENSG00000108342 ENSG00000197272 ENSG00000259384 ENSG00000163739 ENSG00000081041 ENSG00000163734 ENSG00000077238 ENSG00000136244 ENSG00000169429 ENSG00000163083 ENSG00000169245 ENSG00000128342 ENSG00000108691 ENSG00000172156 ENSG00000172724 ENSG00000137077 ENSG00000124875 ENSG00000186827 ENSG00000125735 ENSG00000243509 ENSG00000115598 ENSG00000008517 ENSG00000130513 ENSG00000125726"
0.000227071968690878,7,92,9.02044379364722,"Path:hsa05323 Rheumatoid arthritis","http://www.genome.jp/kegg-bin/show_pathway?hsa05323 ","ENSG00000163739 ENSG00000081041 ENSG00000163734 ENSG00000136244 ENSG00000169429 ENSG00000108691 ENSG00000124875"
2.34453294864398e-06,12,191,7.44844423948132,"Path:hsa04062 Chemokine signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04062 ","ENSG00000006606 ENSG00000163739 ENSG00000081041 ENSG00000163734 ENSG00000169429 ENSG00000169245 ENSG00000105639 ENSG00000108691 ENSG00000172156 ENSG00000172724 ENSG00000137077 ENSG00000124875"
0.0028226648003995,6,100,7.11326424870466,"Path:hsa04933 AGE-RAGE signaling pathway in diabetic complications","http://www.genome.jp/kegg-bin/show_pathway?hsa04933 ","ENSG00000120738 ENSG00000136244 ENSG00000169429 ENSG00000164867 ENSG00000108691 ENSG00000007908"
0.00293483952338687,6,102,6.97378847912222,"Path:hsa05146 Amoebiasis","http://www.genome.jp/kegg-bin/show_pathway?hsa05146 ","ENSG00000100448 ENSG00000163739 ENSG00000081041 ENSG00000163734 ENSG00000136244 ENSG00000169429"
0.000126403216968886,10,193,6.1427152406776,"Path:hsa05202 Transcriptional misregulation in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05202 ","ENSG00000164821 ENSG00000100453 ENSG00000017427 ENSG00000136244 ENSG00000169429 ENSG00000002745 ENSG00000010030 ENSG00000122861 ENSG00000140379 ENSG00000159216"
0.00554508084333033,7,162,5.12272116676262,"Path:hsa04630 JAK-STAT signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04630 ","ENSG00000108342 ENSG00000259384 ENSG00000077238 ENSG00000136244 ENSG00000105639 ENSG00000128342 ENSG00000184557"
0.00131285687252061,9,214,4.98593288460607,"Path:hsa05417 Lipid and atherosclerosis","http://www.genome.jp/kegg-bin/show_pathway?hsa05417 ","ENSG00000163739 ENSG00000081041 ENSG00000163734 ENSG00000173110 ENSG00000136244 ENSG00000169429 ENSG00000164867 ENSG00000108691 ENSG00000007908"
1.15315971564093e-05,15,362,4.91247530987891,"Path:hsa04080 Neuroactive ligand-receptor interaction","http://www.genome.jp/kegg-bin/show_pathway?hsa04080 ","ENSG00000100448 ENSG00000259384 ENSG00000183971 ENSG00000188710 ENSG00000248099 ENSG00000104826 ENSG00000101405 ENSG00000180739 ENSG00000160951 ENSG00000160013 ENSG00000100739 ENSG00000170893 ENSG00000128165 ENSG00000139574 ENSG00000127533"
