"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.09174328768638e-05,6,32,22.2289507772021,"Path:hsa00640 Propanoate metabolism","http://www.genome.jp/kegg-bin/show_pathway?hsa00640 "," DBT  EHHADH  ALDH6A1  MMUT  PCCA  SUCLA2"
4.53124473911465e-07,8,48,19.759067357513,"Path:hsa00280 Valine leucine and isoleucine degradation","http://www.genome.jp/kegg-bin/show_pathway?hsa00280 "," DBT  EHHADH  ACADM  ACADSB  ALDH6A1  MMUT  OXCT1  PCCA"
4.54388148340236e-10,12,77,18.4760110355965,"Path:hsa05412 Arrhythmogenic right ventricular cardiomyopathy","http://www.genome.jp/kegg-bin/show_pathway?hsa05412 "," DMD  DSG2  DSP  CTNNA3  ITGAV  ITGB1  ATP2A2  PKP2  RYR2  SGCD  SLC8A1  CACNA2D1"
4.53124473911465e-07,10,90,13.1727115716753,"Path:hsa05410 Hypertrophic cardiomyopathy","http://www.genome.jp/kegg-bin/show_pathway?hsa05410 "," DMD  ITGAV  ITGB1  ATP2A2  PRKAA2  RYR2  SGCD  SLC8A1  ACTC1  CACNA2D1"
4.70994929315882e-07,10,96,12.3494170984456,"Path:hsa05414 Dilated cardiomyopathy","http://www.genome.jp/kegg-bin/show_pathway?hsa05414 "," DMD  ITGAV  ITGB1  ATP2A2  PLN  RYR2  SGCD  SLC8A1  ACTC1  CACNA2D1"
0.00843212805677384,4,42,11.2908956328645,"Path:hsa00380 Tryptophan metabolism","http://www.genome.jp/kegg-bin/show_pathway?hsa00380 "," EHHADH  MAOA  MAOB  DHTKD1"
0.00846642267437055,4,43,11.0283166646584,"Path:hsa00071 Fatty acid degradation","http://www.genome.jp/kegg-bin/show_pathway?hsa00071 "," EHHADH  ACSL1  ACADM  ACADSB"
0.00258081001663531,5,57,10.3995091355331,"Path:hsa01212 Fatty acid metabolism","http://www.genome.jp/kegg-bin/show_pathway?hsa01212 "," EHHADH  ACSL1  ACADM  ACADSB  HSD17B12"
0.000244289744037424,7,87,9.53886010362694,"Path:hsa04260 Cardiac muscle contraction","http://www.genome.jp/kegg-bin/show_pathway?hsa04260 "," ATP1A2  ATP2A2  RYR2  SLC8A1  ACTC1  CACNA2D1  CASQ2"
0.000188083913602426,8,115,8.24726289704889,"Path:hsa01200 Carbon metabolism","http://www.genome.jp/kegg-bin/show_pathway?hsa01200 "," DLAT  IDH3A  ALDH6A1  MMUT  ACO2  PCCA  PFKM  SUCLA2"
0.000964834063060577,8,149,6.36533713530619,"Path:hsa04261 Adrenergic signaling in cardiomyocytes","http://www.genome.jp/kegg-bin/show_pathway?hsa04261 "," ATP1A2  ATP2A2  PLN  PPP2R3A  RYR2  SLC8A1  ACTC1  CACNA2D1"
0.00957395855504868,6,121,5.87873078405344,"Path:hsa04919 Thyroid hormone signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04919 "," ITGAV  ATP1A2  ATP2A2  PFKM  PIK3R1  PLN"
2.34362965786436e-05,33,1538,2.54375509544055,"Path:hsa01100 Metabolic pathways","http://www.genome.jp/kegg-bin/show_pathway?hsa01100 "," SGPP2  SMYD1  DBT  DLAT  AGL  EHHADH  ACSL1  NNT  CERS6  GUCY2C  ACADM  IDH3A  ACADSB  MAOA  MAOB  ALDH6A1  MMUT  ACO2  OXCT1  PCCA  HSD17B12  PFKM  TMLHE  DHTKD1  CRPPA  TYRP1  L2HGDH  PDHX  PIP5K1B  B3GALT2  SUCLA2  INPP4B  B4GALT6"
